threshold,accuracy,balanced_accuracy,precision,recall,false_positive_rate,false_negative_rate,tp,tn,fp,fn
0.44999999999999996,0.8530465949820788,0.8362597120499039,0.9141856392294221,0.8758389261744967,0.2033195020746888,0.12416107382550336,522,192,49,74
0.5499999999999999,0.8267622461170848,0.8351040129215517,0.9328214971209213,0.8154362416107382,0.14522821576763487,0.18456375838926176,486,206,35,110
0.49999999999999994,0.8422939068100358,0.8348881895903534,0.9202898550724637,0.8523489932885906,0.1825726141078838,0.1476510067114094,508,197,44,88
0.39999999999999997,0.8614097968936678,0.8322460942939096,0.9040404040404041,0.9010067114093959,0.23651452282157676,0.09899328859060402,537,184,57,59
0.5999999999999999,0.8112305854241338,0.8316125483861985,0.9415322580645161,0.7835570469798657,0.12033195020746888,0.21644295302013422,467,212,29,129
0.35,0.8637992831541219,0.825273608287616,0.8950819672131147,0.9161073825503355,0.26556016597510373,0.08389261744966443,546,177,64,50
0.6499999999999999,0.7933094384707288,0.8239717062574843,0.9471458773784355,0.7516778523489933,0.1037344398340249,0.2483221476510067,448,216,25,148
0.3,0.8637992831541219,0.8116802194435935,0.8813291139240507,0.9345637583892618,0.3112033195020747,0.06543624161073826,557,166,75,39
0.7,0.7586618876941458,0.8021143724414492,0.9477272727272728,0.6996644295302014,0.0954356846473029,0.30033557046979864,417,218,23,179
0.7499999999999999,0.7431302270011948,0.798622907906096,0.9590361445783132,0.6677852348993288,0.07053941908713693,0.33221476510067116,398,224,17,198
0.7999999999999998,0.7096774193548387,0.7825475507532931,0.9706666666666667,0.610738255033557,0.04564315352697095,0.38926174496644295,364,230,11,232
